Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	9	15	39	60	70	106	152	200	237	297	340	408	480	530	591	665	733	779	830	860	889	910	934	950	962	973
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	5	7	7	7	7	7	7	8	8	10	10	10	10	10	10	10	10	10	10	10	10	10
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	5	10	14	26	36	51	68	80	91	111	132	156	183	212	228	253	274	297	315	326	337	342	352	366	372	375	380	381
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	2	5	10	18	35	59	82	101	120	144	159	179	194	205	215	224	239	250	261	267	272	279	281	285	287	290
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	14	19	24	26	30	35	40	51	55	57	62	67	71	79	83	86	86	87	90	90	90	90
广东省	Guangdong	0	0	0	0	0	0	0	0	0	1	14	26	32	53	78	98	146	188	241	311	393	520	604	683	797	870	944	1018	1075	1120	1151	1177	1219	1241	1261	1294	1316	1322
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	5	13	23	33	46	51	58	78	87	100	111	127	139	150	168	172	183	195	210	215	222	222	226	235	237	238
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	5	7	9	9	12	15	29	38	46	56	64	69	77	89	96	109	118	131	135	140	143	144	146
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	4	8	17	22	31	40	43	46	49	57	63	70	79	89	100	111	0	128	136	142	145	157	157	162	162	162
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	13	18	33	48	65	82	96	104	113	126	135	157	171	195	206	218	239	251	265	283	291	300	301
